satellite,temporal_resolution,count
ALOS2,day,2
ALOS2,monthly,1
Blackmarble,subdaily,3
Blackmarble,day,259
Blackmarble,monthly,27
ECOSTRESS,subdaily,90
GoogleEarth,monthly,1
IMERG,day,1
IMERG,monthly,5
Landsat,subdaily,3
Landsat,day,347
Maxar,monthly,3
OPERA,subdaily,9
OPERA,day,66
Planet,day,832
Sentinel-1,subdaily,548
Sentinel-1,day,35
Sentinel-1,monthly,56
Sentinel-1_2,monthly,1
Sentinel-2,subdaily,49
Sentinel-2,day,1213
Sentinel-2,monthly,1
Sentinel-5P,day,13
UAVSAR,subdaily,77
UAVSAR,day,25
UAVSAR,monthly,6
Unknown,subdaily,6
VIIRS,day,3
WB-57,day,13540
WB-57,monthly,23740
